"종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"130500","GH신소재",2990,-45,-1.48,337,8.87,NA,NA,5072,0.59,0,0
"114090","GKL",16780,-270,-1.58,NA,NA,1353,12.4,6183,2.71,0,0
"078930","GS",40750,-50,-0.12,22634,1.8,13956,2.92,133899,0.3,2500,6.13
"083450","GST",23500,-250,-1.05,5243,4.48,NA,NA,21654,1.09,300,1.28
"006360","GS건설",14720,50,0.34,3997,3.68,3343,4.4,56917,0.26,1300,8.83
"001250","GS글로벌",2430,-35,-1.42,851,2.86,NA,NA,4813,0.5,0,0
"007070","GS리테일",24150,-50,-0.21,395,61.14,2421,9.97,39627,0.61,430,1.78
"078935","GS우",35250,0,0,NA,NA,NA,NA,NA,NA,2550,7.23
"297890","HB솔루션",5490,0,0,653,8.41,NA,NA,2190,2.51,150,2.73
"078150","HB테크놀러지",3315,-100,-2.93,358,9.26,NA,NA,2744,1.21,20,0.6
"012630","HDC",6400,50,0.79,NA,NA,NA,NA,44094,0.15,250,3.91
"039570","HDC랩스",8100,100,1.25,538,15.06,NA,NA,11339,0.71,450,5.56
"089470","HDC현대EP",4080,-10,-0.24,398,10.25,NA,NA,10618,0.38,120,2.94
"294870","HDC현대산업개발",10710,200,1.9,764,14.02,NA,NA,43919,0.24,600,5.6
"009540","HD한국조선해양",120600,-400,-0.33,NA,NA,10762,11.21,137382,0.88,0,0
"267250","HD현대",70100,-1400,-1.96,19933,3.52,13576,5.16,105921,0.66,4600,6.56
"267270","HD현대건설기계",79000,700,0.89,6112,12.93,11010,7.18,80387,0.98,1750,2.22
"322000","HD현대에너지솔루션",29050,-450,-1.53,5412,5.37,NA,NA,34065,0.85,600,2.07
"042670","HD현대인프라코어",11460,250,2.23,1163,9.85,1927,5.95,8273,1.39,240,2.09
"267260","HD현대일렉트릭",74400,2500,3.48,4514,16.48,6177,12.04,22854,3.26,500,0.67
"329180","HD현대중공업",127000,-700,-0.55,NA,NA,5930,21.42,59566,2.13,0,0
"097230","HJ중공업",3730,5,0.13,NA,NA,NA,NA,4624,0.81,0,0
"195940","HK이노엔",38600,300,0.78,1342,28.76,2127,18.14,41095,0.94,320,0.83
"014790","HL D&I",2335,25,1.08,300,7.78,622,3.76,11284,0.21,0,0
"028300","HLB",31750,-350,-1.09,NA,NA,NA,NA,5023,6.32,0,0
"003580","HLB글로벌",4435,5,0.11,NA,NA,NA,NA,1507,2.94,0,0
"278650","HLB바이오스텝",3335,-100,-2.91,NA,NA,NA,NA,968,3.45,0,0
"067630","HLB생명과학",9980,410,4.28,NA,NA,NA,NA,2314,4.31,0,0
"024850","HLB이노베이션",3175,-80,-2.46,333,9.53,NA,NA,864,3.67,0,0
"047920","HLB제약",13930,-150,-1.07,NA,NA,NA,NA,3083,4.52,0,0
"115450","HLB테라퓨틱스",3880,10,0.26,NA,NA,NA,NA,1793,2.16,0,0
"046210","HLB파나진",4285,-35,-0.81,70,61.21,NA,NA,986,4.35,0,0
"204320","HL만도",41050,350,0.86,2096,19.58,5623,7.3,45998,0.89,500,1.22
