"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1141","204630","스튜디오산타클로스","664","17","+2.63%","500","674","101,477",0,"2,701,040","-1.88","-53.22"
"1142","069410","엔텔스","6,570","1,510","+29.84%","500","673","10,245",1.67,"4,278,497","-79.16","0.22"
"1143","053350","이니텍","3,395","0","0.00%","500","672","19,791",0.33,"6,125","56.58","0.17"
"1144","307280","원바이오젠","1,840","38","-2.02%","100","672","36,505",3.65,"151,488","12.87","11.97"
"1145","044960","이글벳","5,310","0","0.00%","500","671","12,642",2.56,"39,796","27.66","6.31"
"1146","115310","인포바인","21,000","250","-1.18%","500","670","3,193",6.52,"2,251","9.6","6.08"
"1147","018700","바른손","1,908","1","+0.05%","1,000","670","35,120",0,"177,616","-3.08","-39.73"
"1148","101390","아이엠","7,370","130","-1.73%","500","667","9,054",4.16,"440,255","-31.36","-15.21"
"1149","037350","성도이엔지","4,305","5","+0.12%","500","666","15,470",2.84,"39,103","-11.12","0.43"
"1150","007530","와이엠","3,455","40","-1.14%","500","662","19,174",0.52,"5,453","35.62","6.08"
"1151","057030","YBM넷","4,060","90","+2.27%","500","662","16,313",0.98,"1,076,287","8.24","16.58"
"1152","007720","대명소노시즌","657","2","-0.30%","500","662","100,800",0.59,"51,588","-9.25","-14.25"
"1153","210120","빅텐츠","21,050","750","+3.69%","500","662","3,145",0,"51,504","39.27","18.06"
"1154","109820","진매트릭스","3,240","85","+2.69%","500","661","20,394",1.47,"63,863","-11.29","-28.71"
"1155","043220","티에스넥스젠","607","3","+0.50%","500","660","108,800",0.7,"71,660","-15.56","-20.80"
"1156","004780","대륙제관","4,150","15","-0.36%","500","660","15,903",3.44,"18,299","6.86","7.69"
"1157","003310","대주산업","1,863","18","-0.96%","500","659","35,392",0.91,"117,244","11.94","6.50"
"1158","109080","옵티시스","11,680","200","-1.68%","500","658","5,636",0,"18,667","11.55","15.43"
"1159","097870","효성오앤비","7,750","10","-0.13%","500","658","8,490",0.76,"142,000","23.48","5.35"
