"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"283","069620","대웅제약","KOSPI","의약품",107300,-300,-0.28,1243239497500
"284","000430","대원강업","KOSPI","운수장비",6200,-10,-0.16,3.844e+11
"285","006340","대원전선","KOSPI","전기전자",1108,2,0.18,79736703672
"286","006345","대원전선우","KOSPI","전기전자",2160,15,0.7,5661792000
"287","003220","대원제약","KOSPI","의약품",16830,-390,-2.26,369665396100
"288","024890","대원화성","KOSPI","화학",2260,0,0,93223083520
"289","002880","대유에이텍","KOSPI","운수장비",334,-21,-5.92,38807628670
"290","000300","대유플러스","KOSPI","전기전자",775,-13,-1.65,98002554475
"291","012800","대창","KOSPI","철강금속",1384,14,1.02,126138450616
"292","015230","대창단조","KOSPI","운수장비",6850,-30,-0.44,195719775500
"293","001070","대한방직","KOSPI","섬유의복",9990,-40,-0.4,5.2947e+10
"294","006650","대한유화","KOSPI","화학",145000,-1500,-1.02,9.425e+11
"295","001440","대한전선","KOSPI","전기전자",12990,30,0.23,1616570427000
"296","084010","대한제강","KOSPI","철강금속",13260,260,2,326815692840
"297","001790","대한제당","KOSPI","음식료품",3395,-115,-3.28,304519889100
"298","001795","대한제당우","KOSPI","음식료품",2840,-145,-4.86,18411038400
"299","001130","대한제분","KOSPI","음식료품",128600,-800,-0.62,2.17334e+11
"300","003490","대한항공","KOSPI","운수창고업",22650,50,0.22,8340197971650
"301","003495","대한항공우","KOSPI","운수창고업",25500,-100,-0.39,28325247000
"302","005880","대한해운","KOSPI","운수창고업",1906,85,4.67,608352238760
"303","003830","대한화섬","KOSPI","화학",100900,200,0.2,133995200000
"304","016090","대현","KOSPI","섬유의복",2085,15,0.72,92328616350
"305","069460","대호에이엘","KOSPI","철강금속",2210,10,0.45,145433341820
"306","192080","더블유게임즈","KOSPI","서비스업",42000,550,1.33,764011794000
"307","012510","더존비즈온","KOSPI","서비스업",30450,-600,-1.93,925155772800
"308","004830","덕성","KOSPI","화학",7090,120,1.72,111171200000
"309","004835","덕성우","KOSPI","화학",6380,40,0.63,8880960000
"310","024900","덕양산업","KOSPI","운수장비",5470,0,0,178130440600
"311","145720","덴티움","KOSPI","의료정밀",110400,-1800,-1.6,1221998832000
"312","002150","도화엔지니어링","KOSPI","서비스업",8610,-500,-5.49,290329200000
"313","460850","동국씨엠","KOSPI","철강금속",8210,-90,-1.08,245467965760
"314","460860","동국제강","KOSPI","철강금속",12040,120,1.01,597280524680
"315","001230","동국홀딩스","KOSPI","철강금속",11500,-110,-0.95,183149736000
"316","023450","동남합성","KOSPI","화학",34200,100,0.29,1.197e+11
"317","004140","동방","KOSPI","운수창고업",2040,-25,-1.21,97862402640
"318","007590","동방아그로","KOSPI","화학",6370,0,0,86743965490
"319","005960","동부건설","KOSPI","건설업",6350,-20,-0.31,145255380050
"320","005965","동부건설우","KOSPI","건설업",26350,-50,-0.19,5948038200
"321","026960","동서","KOSPI","유통업",17270,-20,-0.12,1.721819e+12
"322","002210","동성제약","KOSPI","의약품",6090,40,0.66,158954907300
"323","102260","동성케미컬","KOSPI","서비스업",4570,-30,-0.65,227082056960
"324","000640","동아쏘시오홀딩스","KOSPI","기타금융",98600,-600,-0.6,626002821800
"325","170900","동아에스티","KOSPI","의약품",63700,-3200,-4.78,548767219000
"326","028100","동아지질","KOSPI","건설업",12330,-190,-1.52,173269125180
"327","282690","동아타이어","KOSPI","화학",11380,0,0,156281710700
"328","001520","동양","KOSPI","비금속광물",1037,3,0.29,247515373331
"329","001527","동양2우B","KOSPI","비금속광물",11150,650,6.19,3440544350
"330","084670","동양고속","KOSPI","운수창고업",13230,10,0.08,38308377870
"331","082640","동양생명","KOSPI","보험",4935,55,1.13,796304616975
"332","001525","동양우","KOSPI","비금속광물",5440,-30,-0.55,3360456640
"333","008970","동양철관","KOSPI","철강금속",865,-3,-0.35,102835775850
"334","092780","동양피스톤","KOSPI","운수장비",5970,-170,-2.77,78615706200
